house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
5,8,84.226,1,13.960999999999999,5.051,2.764,373.93300000000005,406.085,1.0859999999999999,8.0,0.139,28.105,14.449000000000002,1.945,R1C
48,8,73.971,1,15.872,2.7760000000000002,5.7170000000000005,269.43,290.058,1.077,-82.0,-0.99,25.991999999999997,11.159,2.329,R1C
81,8,62.287,1,14.97,1.367,10.947000000000001,187.768,199.54,1.063,46.0,0.7190000000000001,22.07,9.041,2.441,R1C
114,8,56.451,1,11.484000000000002,2.242,5.121,174.137,182.023,1.045,84.0,0.995,18.840999999999998,9.661,1.95,R1C
147,8,51.98,1,12.623,1.611,7.837000000000001,140.851,149.83,1.064,76.0,0.97,17.721,8.455,2.096,R1C
161,8,61.099,1,12.549000000000001,3.245,3.867,150.525,163.554,1.087,-10.0,-0.174,18.658,8.766,2.128,R1C
191,8,66.212,1,13.548,3.4589999999999996,3.917,193.13299999999998,247.733,1.2830000000000001,8.0,0.139,21.840999999999998,11.342,1.926,R1C
193,10,64.691,1,11.92,1.7519999999999998,6.8020000000000005,197.62900000000002,230.606,1.167,28.0,0.469,22.031,10.467,2.105,R1C
221,11,66.485,1,13.574000000000002,1.6640000000000001,8.156,227.929,265.10900000000004,1.163,8.0,0.139,21.999000000000002,12.050999999999998,1.8259999999999998,R1C
228,8,64.457,1,15.754000000000001,2.455,6.417999999999999,192.265,221.525,1.1520000000000001,38.0,0.616,22.406,9.887,2.266,R1C
233,10,66.35600000000001,1,15.831,1.575,10.052999999999999,219.767,242.68200000000002,1.104,-66.0,-0.914,22.436999999999998,10.815999999999999,2.074,R1C
273,10,53.887,1,11.075999999999999,1.0,11.075999999999999,149.64,164.167,1.097,-50.0,-0.7659999999999999,17.824,9.21,1.935,R1C
286,8,71.23100000000001,1,15.432,3.093,4.989,275.165,291.053,1.058,-80.0,-0.985,23.133000000000003,12.582,1.839,R1C
298,8,60.434,1,14.669,2.168,6.766,189.61599999999999,206.482,1.089,-52.0,-0.7879999999999999,20.572,10.037,2.05,R1C
311,6,67.65100000000001,1,16.403,6.147,2.668,267.106,282.72900000000004,1.058,48.0,0.743,19.430999999999997,14.55,1.335,R1C
